丫	Daemon	Yaya
伯勞雀	Bolaer	Berrower's finch
百六	Hundred six	Hundred six
白馬王子	Prince White Horse	Prince Charming
伯母	aunt	Mother-in-Mother
白武士	White warrior	White Knight
白蒙蒙	Bai Mengmeng	Baimon
迫鈕	Force button	Forced button
百五	Hundred and five	Hundred Five
伯娘	aunt	Uncle Niang
白牌	White card	White Card
白牌車	White card	White Label Car
白牌仔	White card	White Paizi
白皮豬	White pork	White-skin pig
伯婆	Uncle	Mother-in-law
白嘥嘥	Baulfine	White Waster
百三	Hundred and three	Hundred three
白烚	Baulfine	Boiled
白烚蛋	Baolita	Boiled egg
百四	Hundred and four	hundred four
白水	White water	Whitewater
白蝕	White erosion	White Eclipse
白食	White food	White Food
白食白住	White food	White Food White House
白蟬花	White cicada	White cicada flower
白鬚公	Bai Xinggong	White Beard Gong
白雪雪	Bai Xuexue	Snow Snow
百彈齋主	Bai Bozhuo	Hundred bomb slam master
白頭佬	White -headed guy	White-headed
白鐵佬	White iron	White Iron
白話	vernacular	White Talk
白鮓	Baulfine	White whitish
白斬雞	Chopped chicken	White Chopped Chicken
白淨	fair and clear	White net
白紙扇	White fans	White Paper Fan
白撞	Bump	White Bump
白撞雨	Raining	White Rain
百足	Permanent	Hundred Foot
百足咁多爪	Hundred full claws	Hundred feet so many claws
罷啦	Give up	Bale
巴辣雞	Baed chicken	Spicy Chicken
巴黎帽	Paris hat	Paris Hat
把趙咩	Zhao	Putting baa
峇里島	Bali	Bali
峇里海	Bali Sea	Bali-Hai
峇里人	Bali	People from Bali
巴瀝	Bazi	Bark Lek
巴瀝房	Bali house	Ba Lek Room
巴馬臣芝士	Bamagun cheese	Parmesan
巴馬遜芝士	Panmazon Cheese	Parmesan cheese
把脈	Pulse	Putting veins
斑	spot	Spotted
班	class	classes
頒	Presence	Awarded
板	plate	Plates
版	Version	EDITION
闆	plate	Board
扮	Dress up	Dress Up
湴	Bleak	
瓣	valve	Flap
辦	manage	Office
辦	manage	Office
扮	Dress up	Dress Up
巴拿芬蠟	Barinfen wax	Paraffin Wax
班頂	Top of the class	Class Top
班頂馬	Topa horse	class top horse
吧女	Bar female	Bar Girl
班房	Room	Class Room
辦房	House	Office Room
板斧	Ax	Plate Axe
綳	Bleak	
ྴ	Bleak	
嘭	Bleak	
唪	chant	
梆	Tattoo	Bangbang
棒	Great	rods
ྴ	Bleak	
板間房	Panel room	Boardroom room
ྴ一聲	Sip	A whisper
嘭一聲	Sip	A whisper
辦館	Run a hall	Office
扮鬼扮馬	Ghost	Dress Up Ghosts Dress Up
扮蟹	Crab	Playing the Crab
班友	Classmate	Class Friends
扮嘢	Dress up	Dress Up
扮嘢衫	Shirt	Dress Up Shirt
班戟	Crepe	Pancake
班戟粉	Banji powder	Pancake Powder
扮咕	Dressed up	Goo
扮靚	Pretty	Dress up
班馬	zebra	BAMA
斑馬佬	Zebra	Zebra
斑馬線	zebra crossing	Zebra crossing
扮冇嘢	Dressed up	Pretend no
扮懵	Make up	Playing ignorant
扮晒蟹	Dresses	Snow Crab
扮死狗	Dressed up	Playing Dead Dog
班水	Water	Ban Shui
湴氹	Bleak	Taipa
板套房	Panel sleeve	Board Suite
板障	Obstacle	Board Barrier
扮豬食老虎	Pig and a tiger	Play Pig Food Tiger
把炮	Artillery	Put the cannon
把屁	Fart	Fart!
巴絲	Basse	Ba silk
巴士	Bus	BUS
巴士車飛	Bus flying	Bus Car Fly
巴士廠	Bus factory	Bus Depot
巴絲打	Basel	Basse Fight
巴士德消毒	Baste disinfection	Pasteel Disinfection
巴士飛	Bald	Bus Fly
巴士公司	Bus company	Bus companies
巴士佬	Bus	The Barkies
巴仙	Babian	Ba Sin
巴士司機	Bus driver	Bus Driver
巴士站	bus station	Bus stop
巴士仔	Bus	BUS BOI
巴士總站	Bus terminal	Bus Terminus
巴士專用線	Bus -specific line	Dedicated bus lines
8	8	8
八	eight	Eight
霸頭位	Header	Overhead position
八八九九	889	Eighty-eight nine nine
八達通	Octopus	Octopus
八達通機	Octopus	Octopus Machine
八達通咭	Octopus	Octopus Card
八達通增值機	Octopus Value Value	Octopus Add-Value Machine
八公	Eight	Hachiko
八卦	Gossip	gossip
八卦公	Gossip	Bagua
八卦妹	Gossip girl	Gossip
八卦婆	Gossip	Bagua Po
八卦新聞	Gossip news	Gossip News
八卦雜誌	Gossip magazine	Gossip Magazine
八卦週刊	Gossip	Gossip Weekly
八吓	Eight	Eight scares
八號波	Eight waves	Wave 8
八號風球	No. 8 Wind Ball	Typhoon signal No. 8
八月十五	August 15th	August 15
八妹	Eight girls	Eight-sister
八妹仔	Ba Mei Tsai	Pat Mei Tsai
吧枱	Bar	Bar table
吧枱椅	bar chair	Bar Chairs
八婆	Eight mother -in -law	Eight Grandma
八婆仔	Ba Pozi	Eight Po Tsai
八爪魚	Octopus	Octopus
八爪魚球	Octopus ball	Octopus ball
八珍	Eight treasures	Pat Chun
八珍豆腐	Eight Zhen Tofu	Pat Chun Tofu
包	Bag	PACK
鮑	abalone	Abalone
飽	full	satiety
飽	full	satiety
爆	burst	Explosion
包拗頸	Cricket	Wrap the neck
包包面	Bag	Bread
爆煲	Burst	Burst Pot
爆拆	Explosion	Demolition
爆粗	Burst	Explosion Rough
爆大鑊	Boom 镬 镬 镬 镬	Stir-fry Wok
爆大鑊嘢	Burst	Wok
包頂頸	Tip of the neck	Top-neck
爆火	Burst	Hot Fire
爆房	Burst	Explosive room
包伙食	Meal	Pack Meal
爆格	Burst	Popping
爆缸	Burst	Burst
爆穀	Burst	Popcorn
包起	Wrap	Packed up
爆響口	Burst	Explosive mouth
包二奶	Second milk	Pack of two milk
爆熱格	Burst	Burst lattice
鮑魚	abalone	Abalone
鮑魚刷	Abalone brush	Abalone Brush
爆咭	Burst	Card Blast
爆冷格	Burst	Explosive grid
爆料	Break the news	Blown material
爆咪	Burst	Popcorn
包屘	Be in a pale	Bubby
爆芒	Burst	burst mans
爆棚	Burst	Bursting
包山	Hill	Baoshan
包山節	Baoshan Festival	Bun Festival
鮑參翅肚	Abalone	Abalone Wings Belly
飽死	Be full	Full Death
飽死荷蘭豆	Dead Dutch bean	Dead Hollandaean
爆石	Burst	Rock Blasting
爆竊	Explosion	Burglary
包粟	Cricket	Millet
爆軚	Burst	Explosion
包頭	Bait	Baotou
包艇	Bag	Chartered Boat
包枱	Packet table	Package Table
飽肚	Be full of stomach	Full belly
爆肚	Burst	Burst belly
爆鑊大嘢	Dajie	Big Frying Wok
爆炸	explode	Explosion
爆炸糖	Explosive sugar	Explosive Candy
包剪ⱕ	Shear	Paper-cut
爆漿	Burst	Bursting
包裝	Package	PACKAGING
包租公	landlord	Chartered public
包租人	Charterer	Charters
包租婆	Landlady	Charters
爆鐘	Burst	Burst Bell
霸位	Hegemony	Overlords
霸王	Overlord	Overlord
霸王花	Overlord	Overlord Flower
霸王雞	Overlord chicken	Overlord Chicken
霸王雞乸	Overlord chicken	Overlord Chicken
霸王客	Overlord	Overlord
霸王硬上弓	Overlord	Overlord Hard On Bow
巴揸	Puppet	Ba
罷就	Stop	Just do it.
霸住	Live	Overlord
跛	lame	lame
閉	close	Closed
໻	Bleak	
幣	currency	COIN
弊	Disadvantage	Cons
稗	Bleak	Barnyard
Ⴧ	Bleak	
弊家伙	Disadvantage	Cons Guy
跛腳	Lame	Lame
跛腳鴨	Ravage duck	Lame duck
跛腳鴨政府	Lame duck government	Lame duck government
跛腳雞有自來蟲	Louder chicken has a bug	Lame chicken with free worm
跛腳了哥	Clamp brother	Lame, brother
跛腳了哥自有飛來蜢	Clamp brother, my brother has his own flying 了	Lame brother flew to the hopper
跛腳佬	Lame	Lame
跛腳妹	跛脚妹	Lame sister
跛腳婆	Murmor	Lame
跛腳仔	Lame	Lame
跛腳政府	Lame government	Lame government
跛公	Murmor	Lame
跛人	Lame	Lame
弊喇	Disadvantage	La Mala
跛佬	Lame	Lame
閉翳	Closure	Closed blinded
跛手	Lame	Lame
跛仔	Lame	Lame
北	north	NORTH
北姑	Northern aunt	Pei Gu
北姑竇	Northern auntin	Bei Gu Dou
北姑雞	Northern aunt chicken	Pei Gu Chicken
北菇雞	North mushroom chicken	Mushrooms Chicken
北芪	Beiqi	Astragali
北佬	Northern guy	Yankees
北妹	Northern girl	North Mei
北嫂	North	Northern sister-in-law
乓	Pink	Pong
泵	Pump	PUMP
乓	Pink	Pong
乓	Pink	Pong
泵把	Pump	Pump Handles
乓乓聲	Pangle	Pong
泵波拿	Pump wave	Pump Bona
泵氣	Pump	PUMP
泵奶	Pumping milk	Milk pumping
泵水	Pump water	PUMP WATER
奔	Run	Ben
檳	Champagne	Penang
濱	coast	HAMA
繽	Dazzling	colorful
賓	Guest	bin
品	Taste	product
禀	Take up	
稟	Take up	Filing
擯	Bleak	
殯	funeral	Funeral
笨	fool	Stupid
賓賓	Guest	Binbin
崩	collapse	Collapsed
憑	Rely on	With
賓㗎	Guest	Binlong
崩口	Collapse	chipping
崩口人忌崩口碗	Black people avoid collapse bowls	Tough people avoid chipping bowl
崩口佬	Collapse	The Chinchiefs
崩口仔	Blackkou	Chipping
崩牙	Teeth	Falling teeth
崩牙佬	Bully	Gaveteeteo
崩牙老舉	Lao Yaoling	Ageing
崩牙仔	Buliang tooth	Bumbled Teeth
崩沙	Rustic	Sand-Bapsed
崩仔	Collapse	Collapsing
崩嘴茶壺	Collapsed tea pot	Bump Mouth Teapot
崩裝	Collapse	Collapsed
檳榔芋	Betelian taro	Betel nut taro
賓佬	Guest	Bro
賓妹	Guest girl	Bin sister
賓婆	Guest	Bin-po
賓仔	Bunny	Bin Tsai
賓周	Guest week	Bin Zhou
賓周仔	Bin Zhouzai	Bin Zhou Tsai
賓姐	Sisters	Sister Bin
賓治	Governance	BINCIPAL
笨豬跳	Dumpling	Bungy Jump
吥	Bleak	
吥	Bleak	
吥	Bleak	
吥吥聲	Squeak	CLAIMER
吥聲	Squeak	CLAIMER
不	No	No.
畢	complete	Bi
筆	Pen	Pens
Ⳃ	Bleak	
拔	pull	Pulling
不特只	Unsatisfactory	Not only
不菲	Excessive	Not much
筆記簿	Notes	Notebook
不經不覺	Unknowingly	Unconsciously
拔蘭地	Taurn	Brandy
不留	Do not stay	Do not stay
不留都冇	Nothing without staying	Don't stay at all
不文	Unknown	No text
不文物	Unrealistic relics	No artifacts
筆塔	Pen tower	Pen Tower
筆嘴	Bribes	Pen Nozzle
不值	not worth	Not worth
不俗	Not good	Not bad
骲	Bleak	
啤	beer	BEER
睥	look askance	
啤	beer	BEER
啤啤佢	Beer	Beer it
啤機	Beer	Beer Machine
卑	humble	humble
悲	sad	Sadness
陂	Tidy	Pei
俾	Be	Bier
吡	Pyramid	PIRAC
比	Compare	than
畀	Be	give
肶	Bleak	
脾	spleen	Spleen
髀	thigh	thighs
庇	shelter	Shelter
泌	Secrete	secretion
痹	paralysis	Paralysis
痺	paralysis	Paralysis
祕	secret	Secret
秘	secret	Secret
箅	Bleak	
臂	arm	arm
畀	Be	give
備	Prepare	Prepared
避	avoid	Avoidance
鼻	nose	Nasal
畀保護費	Again the protection fee	Protection fee
避車	Avoid car	Car avoidance
俾車車死	Dying	Trolley dead
畀錢	Make money	Pay money
畀都唔V.	.. V.	Give all the money V.
畀番	畀 番 番	Koban
避風塘	Shelter	Typhoon Shelter
避忌	Avoid	Avoid
比堅尼	Bibini	Bijini
鼻哥	Nose	Nose brother
鼻哥ၷ	Nose Brother ၷ	Nose Gobiao
畀個良心你當狗肺	狗 A conscience, you are a dog lung	Give a conscience. You're a dog's lung.
鼻哥窿	Nose brother	Nose brother hole
畀個頭你	畀 个	Give me a head to you.
畀個頭你當櫈坐	You can sit on your head as a stool	Give a head and you sit as a chair
俾鬼迷	Ghost fans	Ghost fans
俾鬼矺	矺 矺 矺	Bishops
畀口供	Confession	giving
鼻鼾	Nose	Snoring
鼻鼾聲	snoring	Snoring
畀人情	Glory	Give Love
俾人飛	Fly	Flying
俾人攪大咗	People are stirring	People stir up
畀人工	Artificially	Give artificial
俾人落面	Fall to face	People fall in front
俾人賣豬仔	Talent sells pigs	Piglets
俾人水咗	俾 水 水 水	People are water
俾人睇死	Dying	People die
俾人睇衰	衰 衰 衰 人	People are bad
俾人踢入會	Renren kicked into the meeting	Kick into the club
俾人搵笨	笨 笨	People are stupid
俾人搵着數	Cross the number	Number of people
俾人走數	Countless people	Number of people
俾人捉痛腳	Pain	Catching Pain Feet
畀鹽	Salt	Give salt
髀罅	Bleak	Thigh
畀禮	Give a gift	GIFT
俾落面	Fall into a face	Bare noodles
秘撈	Fainting	Secret fishing
畀唔到	唔	Not to
畀面	Noodle	Faces
畀你揀	畀 畀	I want you to pick
畀檸檬我食	Lemon I eat	Let me eat the lemon
俾PR.放飛機	Pr. Put the plane	Pr.
畀西瓜皮人踩	Watermelon peel people step on	Let the Watermelon Skin Man
畀心機	Be at ease	WORK MACHINE
畀薪水	Salary	Payroll
畀!膝頭對上就係髀!	Well!	Give it! On the knee on the leg!
畀税	Tax	Tax Payment
鼻水	Nose	Nasal water
鼻屎	Nasal	Booger
鼻涕蟲	Nose	Snot
畀條生路我行啦	I can do it	Just give me the way
畀陀地費	Tuo Tuoshu	Putuo fee
畀糖	Sugar	Give Sugar
畀屋租	Housing rent	For Rent
俾屈錢	俾屈钱	Qu Qian
畀隻中指	Only middle finger	Give only the middle finger
畀蕉皮PR.踩	踩 Banana Pr. Step on	Pr.
啤一啤	Beer	Beer, one beer
睥一睥	睥 睥 睥 睥	Ipus
壁	wall	Wall
	Bleak	
啤梨	Raybon	PEAR
啤梨汁	Bail	Pear Juice
啤令	Beer	Beer order
BAND	Band	BAND
BAND房	Band room	BAND ROOM
餅	cake	Cake
併	and	Merged
柄	handle	shank
病	sick	Sickness
餅家	Cake	Cake home
病假紙	Fake paper	Sick Leave Paper
病君	Sick monarch	Sick Jun
餅印	Cake seal	Pie Prints
餅咭	Cake	Cake Card
柄๺	Handle	Shank
病貓	Sick cat	Sick Cat
病壞	Ill	Sickness
病咗	Ill	Sick
BENZ	Benz	BENZ
BAND仔	Band	BAND
짯	Bleak	
啤酒妹	Beer girl	Beer Girl
啤酒肚	Beer belly	Beer Belly
B	B	B
啤	beer	BEER
BB	BB	BB
BB車	BB car	BB Car
BB沖涼盆	BB shower basin	BB Basin
BBQ	BBQ	BBQ
BB滿月酒	BB full moon wine	BB Full Moon Wine
BB女	BB woman	BB Girl
BB衫	BB shirt	BB Shirt
BB仔	BB	Baby Boy
BB豬	BB pig	BB Pig
碧	Bleak	Bi
逼	force	Forced
迫	force	Forced
逼	force	Forced
逼巴士	Forced a bus	Forced bus
逼逼挾挾	Forced a threat	Forced hostage
逼車	Forced a car	Forced car
逼電車	Forced a tram	Forced Tram
逼挾	Push	Forced
逼人	pressing	Forced people
迫力	Force	Force
逼力	Force	Force
迫力痕	Force marks	Force Marks
迫力油	Force oil	Force Oil
迫力子	Forceful	Forced child
甂	Bleak	
辮	braid	Braid
邊	side	Edges
鞭	whip	whip
扁	flat	flat
貶	derogatory	derogatory
變	Change	Variable
便	Be	stool
辯	debate	Debate
邊邊	Side by side	Edge Edges
邊便	Side	Side poop
便便	Poop	poop
扁切切	Flat	Flat cut
邊啲	Sideline	Side-Dump
邊啲嘢	Sideways	G.O.D.
邊度	Edge	Edge degree
邊度會有咁大隻蛤乸隨街跳?	Will there be a big clam jump on the street?	Will there be such a large clam jumping around the street?
B女	B girl	B Female
邊瓣	Edge	Side flap
乒	Ping -pong	PING
兵	Soldier	Soldiers
冰	ice	Ice
丙	Campaign	c
抦	Bleak	
炳	Dazzling	Ping
並	and	and
乒乓波	Ping -pong wave	Ping Pong Wave
乒乓波枱	Ping -pong wave table	Ping Pong Table
冰格	Ice Tray	Ice lattice
兵哥	Soldier	Brother Bing
抦一鑊	抦 镬 镬 镬	Wok
乒鈴ྴ唥	Table Tennis Bell 唥 ྴ ྴ ྴ	Ping-bells
邊個	Side by one	Side
邊個月	For a month	Side month
邊個唔 … 喎	Bian omit	Side of a well...
冰室	ice room	Ice room
冰箱	refrigerator	Refrigerators
兵頭	Soldier	Soldiers Head
兵頭花園	Soldier garden	Bing's Head Garden
邊日	Border	Side Day
邊一個	One side	Side one
邊樣	Sample	Edge Sample
邊樣嘢	Sideways	Edge Samples
便利店	Convenience store	Convenience store
便士	penny	penny
邊處	Side	Edge
變態佬	Pervert	pervert
扁撻撻	Flat tart	Flat Tart Tart
邊頭	Sideline	Edge Head
扁撻撻	Flat tart	Flat Tart Tart
邊	Sideline	Edges
邊位	Border	Edge Bit
咇	Bleak	
必	must	must
別	Don't	Don't
標	Bidding	Standard
滮	flowing of water	
猋	whirlwind	
錶	surface	Watch
飊	Bleak	
表	surface	Table
標青	Bidding	Blue Label
表錯情	Dislocation	Wrong expression
標松柴	Pine firewood	Standard pine firewood
表哥	cousin	Cousin
錶肉	Watt	Watch meat
標奇立異	Strange	Strange
錶鏈	Bracelet	Bracelet
滮尿	Urine	Urinary
標參	Benchmark	Standard parameter
表嬸	Watched	My cunt
標升	Bid	Standard L
表叔	Uncle	Uncle cousin
標貼	Stickers	Labelling
標會	Benchmark	Standard meeting
B仔	B	B Chai
賃	rent	Lease
啵	Bleak	Boo
坡	slope	Slopes
波	Wave	wave
玻	glass	GLASS
菠	spinach	pineapples
噃	Bleak	
播	broadcast	Sowing
დ	Bleak	
波霸	Bobo	Wave Pa
波板	Ripple	Wave plate
波板糖	Ripper	lollipops
