Word	POS	Def	derogatory	offensive	vulgar	age	crime	disability	ethnicity	geography	other	politics	religion	sex	socioeconomic	substance	suicide
#MeToo	noun	social movement opposing sexual harassment					sexual					feminism		gender_female, sexuality
ASV	noun	English translation of Bible published in US in 1901, based on Revised Version of 1881-95 with additional work by American scholars											text
AV	abbreviation	Authorized Version											text
Abo	noun	Aborigine		y					indigenous_australia
Aboriginal	adjective	relating to indigenous Australians							indigenous_australia, indigenous
Aboriginal tent embassies	noun	site of political protest by indigenous people							indigenous_australia
Aboriginal tent embassy	noun	site of political protest by indigenous people							indigenous_australia
Aboriginalisation	noun	policy of enabling Aboriginal people to take up positions in organizations							indigenous_australia
Aboriginality	noun	distinctive culture of aboriginal peoples							indigenous_australia
Aboriginalization	noun	policy of enabling Aboriginal people to take up positions in organizations							indigenous_australia
Aboriginals	adjective	relating to indigenous Australians							indigenous_australia, indigenous
Aborigine	noun	person, animal, or plant in region from earliest times							indigenous_australia, indigenous
Aborigines	noun	person, animal, or plant in region from earliest times							indigenous_australia, indigenous
Abos	noun	Aborigine		y					indigenous_australia
Adolf Hitler	empty	(1889–1945), Austrian-born Nazi leader	y									y
Adoptionist	noun	person holding view that Christ is son of God by adoption only											christian
Adoptionists	noun	person holding view that Christ is son of God by adoption only											christian
Adullamite	noun	member of dissident political group										supporter
Adullamites	noun	member of dissident political group										supporter
Adventist	noun	member of any of various Christian sects emphasizing belief in imminent second coming of Christ											christian
Adventists	noun	member of any of various Christian sects emphasizing belief in imminent second coming of Christ											christian
Affrilachian	noun	African American who is native to or resides in Appalachia							black
Affrilachians	noun	African American who is native to or resides in Appalachia							black
African	adjective	person from Africa							black
African American	noun	black American							black
African Americans	noun	black American							black
African National Congress	empty	South African political party							black			nationalism, party
African-American	noun	black American							black
Africanise	verb	restructure organization by replacing white employees with black Africans							black
Africanised	verb	restructure organization by replacing white employees with black Africans							black
Africanises	verb	restructure organization by replacing white employees with black Africans							black
Africanising	verb	restructure organization by replacing white employees with black Africans							black
Africanism	noun	belief that black Africans and their culture should predominate in Africa							black			y
Africanist	noun								black			y
Africanists	noun								black			y
Africanize	verb	restructure organization by replacing white employees with black Africans							black
Africanized	verb	restructure organization by replacing white employees with black Africans							black
Africanizes	verb	restructure organization by replacing white employees with black Africans							black
Africanizing	verb	restructure organization by replacing white employees with black Africans							black
Africans	adjective	person from Africa							black
Afrikaner	noun	Afrikaans-speaking white person in South Africa							white_southafrica
Afrikaners	noun	Afrikaans-speaking white person in South Africa							white_southafrica
Afro	noun	hairstyle in which naturally kinky hair is styled in round shape							black
Afro-American	adjective	African American							black
Afro-Americans	adjective	African American							black
Afro-Indigenous	adjective	relating to person with African and indigenous ancestors							y
Afro-Latina	noun	woman or girl of mixed African and Latin American origin							black, latinamerican, mixedrace
Afro-Latinas	noun	woman or girl of mixed African and Latin American origin							black, latinamerican, mixedrace
Afro-Latino	noun	person of mixed African and Latin American origin or descent							black, latinamerican, mixedrace
Afro-Latinos	noun	person of mixed African and Latin American origin or descent							black, latinamerican, mixedrace
Afro-futurism	noun	movement in literature featuring futuristic themes							black
Afro-futurist	noun								black
Afro-futurists	noun								black
Afrofuturism	noun	movement in literature featuring futuristic themes							black
Afrofuturist	noun								black
Afrofuturists	noun								black
Afros	noun	hairstyle in which naturally kinky hair is styled in round shape							black
Aga Khan	noun	title of spiritual leader of Nizari sect of Ismaili Muslims											muslim
Aga Khans	noun	title of spiritual leader of Nizari sect of Ismaili Muslims											muslim
Agent Orange	noun	defoliant chemical used by US in Vietnam War										us, war
Aggadah	noun	text recited at Seder on first two nights of Jewish Passover											text
Ah Beng	noun	young man who wears designer clothing	y
Ah Bengs	noun	young man who wears designer clothing	y
Ahmadi	noun	follower of Ahmadiyya movement											muslim
Ahmadis	noun	follower of Ahmadiyya movement											muslim
Aids	noun	disease with severe loss of body's cellular immunity												sexuality
Akali	noun	member of Sikh political group										supporter
Akalis	noun	member of Sikh political group										supporter
Al Nakba	noun	Palestinian term for events of 1948, when many Palestinians were displaced by creation of new state of Israel										israel, palestine
Al Qa'idah	empty	militant Islamic fundamentalist group										extremism	fundamentalism, muslim
Al Qaeda	empty	militant Islamic fundamentalist group										extremism	fundamentalism, muslim
Al Qaida	empty	militant Islamic fundamentalist group										extremism	fundamentalism, muslim
Alaska Native	noun	member of Indigenous peoples of Alaska							indigenous
Alaska Natives	noun	member of Indigenous peoples of Alaska							indigenous
Alawi	noun	member of Shiite Muslim group living mainly in Syria											muslim
Alawis	noun	member of Shiite Muslim group living mainly in Syria											muslim
Alawite	noun	member of Shiite Muslim group living mainly in Syria											muslim
Alawites	noun	member of Shiite Muslim group living mainly in Syria											muslim
Alice Walker	empty	(b.1944), American writer and critic							black
Allah	empty	name of God among Muslims											muslim
Allied	adjective	relating to Britain and wartime allies										war
Allies	noun	friendly country							y			war		gender, sexuality
Almohad	noun	member of Berber Muslim movement and dynasty that conquered Spanish and North African empire of Almoravids in 12th century											muslim
Almohade	noun	member of Berber Muslim movement and dynasty that conquered Spanish and North African empire of Almoravids in 12th century											muslim
Almohades	noun	member of Berber Muslim movement and dynasty that conquered Spanish and North African empire of Almoravids in 12th century											muslim
Almohads	noun	member of Berber Muslim movement and dynasty that conquered Spanish and North African empire of Almoravids in 12th century											muslim
Althea Gibson	empty	(1927–2003), American tennis player							black
Amerasian	adjective	having one American and one Asian parent							asian, mixedrace
Amerasians	adjective	having one American and one Asian parent							asian, mixedrace
American Indian	noun	member of any of Indigenous peoples of Americas							indigenous_america		controversial_ethnicity
American Indians	noun	member of any of Indigenous peoples of Americas							indigenous_america		controversial_ethnicity
American Standard Version	noun	English translation of Bible published in US in 1901, based on Revised Version of 1881-95 with additional work by American scholars											text
Amerind	noun	member of Indigenous peoples of the Americas							indigenous_america
Amerindian	noun	member of Indigenous peoples of the Americas							indigenous_america
Amerindians	noun	member of Indigenous peoples of the Americas							indigenous_america
Amerinds	noun	member of Indigenous peoples of the Americas							indigenous_america
Ancien Régime	noun	political or social system that has been displaced by another										system
Ancien Régimes	noun	political or social system that has been displaced by another										system
Anderson	empty	(1902–93), American operatic contralto							black
Anderson shelter	noun	small prefabricated air-raid shelter of type built in UK during Second World War										war
Anderson shelters	noun	small prefabricated air-raid shelter of type built in UK during Second World War										war
Anderson, Marian	empty	(1902–93), American operatic contralto							black
Angelou	empty	(1928–2014), American novelist and poet							black
Angelou, Maya	empty	(1928–2014), American novelist and poet							black
Anglican	adjective	member of any of Anglican Churches											christian
Anglicans	adjective	member of any of Anglican Churches											christian
Anglo	noun	white English-speaking person of British or northern European origin		y					mixedrace, white
Anglo-Catholic	adjective	member of Anglo-Catholic Church											christian
Anglo-Catholics	adjective	member of Anglo-Catholic Church											christian
Anglo-Celt	noun	person of British or Irish descent							british
Anglo-Celts	noun	person of British or Irish descent							british
Anglo-Indian	adjective	of Indian descent but born or living in Britain							asian, mixedrace
Anglo-Indians	adjective	of Indian descent but born or living in Britain							asian, mixedrace
Anglo-Irish	adjective	English people living in Ireland													class
Anglo-Saxon	adjective	English							british, white
Anglo-Saxons	adjective	English							british, white
Anglos	noun	white English-speaking person of British or northern European origin		y					mixedrace, white
Antifa	noun	radical anti-fascist political movement										fascism, leftwing
Apache	noun	member of group of North American peoples of the south-western US							indigenous_america
Apaches	noun	member of group of North American peoples of the south-western US							indigenous_america
Apocalypse	noun	(in Vulgate Bible) book of Revelation											text
Apocrypha	noun	biblical writings not forming part of canon of Scripture											text
Apostle	noun	each of twelve chief disciples of Jesus Christ											christian
Apostles	noun	each of twelve chief disciples of Jesus Christ											christian
Arab	noun	member of Semitic people, originally from Arabian peninsula and neighbouring territories							arab
Arabism	noun	support for Arab nationalism or political interests										y
Arabist	noun	person who studies Arabic civilization or language										middleeast, supporter
Arabists	noun	person who studies Arabic civilization or language										middleeast, supporter
Arabs	noun	member of Semitic people, originally from Arabian peninsula and neighbouring territories							arab
Aranyaka	noun	each of set of Hindu sacred treatises based on Brahmanas											text
Aranyakas	noun	each of set of Hindu sacred treatises based on Brahmanas											text
Arian	noun	adherent of doctrine of Arianism											christian
Arians	noun	adherent of doctrine of Arianism											christian
Arminian	adjective	adherent of Arminian doctrines											christian
Arminians	adjective	adherent of Arminian doctrines											christian
Arthur Ashe	empty	(1943–93), American tennis player							black
Aryan	adjective	relating to ancient Indo-European people							white
Aryans	adjective	relating to ancient Indo-European people							white
Ashe	empty	(1943–93), American tennis player							black
Ashe, Arthur	empty	(1943–93), American tennis player							black
Ashkenazi	noun	Jew of central or eastern European descent											jewish
Ashkenazim	noun	Jew of central or eastern European descent											jewish
Ashkenazis	noun	Jew of central or eastern European descent											jewish
Asian	adjective	native of Asia or person of Asian descent							asian
Asian American	noun	American of Asian descent							asian
Asian Americans	noun	American of Asian descent							asian
Asians	adjective	native of Asia or person of Asian descent							asian
Asiatic	adjective	Asian person		y					asian
Asiatics	adjective	Asian person		y					asian
Askari	noun	(in East Africa) soldier or police officer					police					supporter
Askaris	noun	(in East Africa) soldier or police officer					police					supporter
Asperger syndrome	noun	condition forming part of autistic spectrum						autism
Asperger's syndrome	noun	condition forming part of autistic spectrum						autism
Aspergers syndrome	noun	condition forming part of autistic spectrum						autism
Aspie	noun	person with Asperger's syndrome						y
Aspies	noun	person with Asperger's syndrome						y
Assassin	noun	person who murders important person for political or religious reasons					murder						muslim
Assassins	noun	person who murders important person for political or religious reasons					murder						muslim
Augustinian	adjective	member of Augustinian order											christian
Augustinians	adjective	member of Augustinian order											christian
Aunt Jemima	noun	black woman considered too obedient to white people							black
Aunt Jemimas	noun	black woman considered too obedient to white people							black
Australian Imperial Force	noun	main Australian military force that served overseas during First World War										war
Australoid	adjective	relating to broad division of humankind represented by Australian Aboriginal peoples		y					indigenous_australia
Australoids	adjective	relating to broad division of humankind represented by Australian Aboriginal peoples		y					indigenous_australia
Avesta	noun	sacred texts of Zoroastrianism, compiled in 4th century											text
Ayers	empty	red rock mass in Northern Territory Australia								y
Ayers Rock	empty	red rock mass in Northern Territory Australia								y
B	abbreviation	black							black
B	noun	denoting second-highest-earning socio-economic category for marketing purposes													class
B &amp; E	abbreviation	breaking and entering					y
B and E	abbreviation	breaking and entering					y
BAME	abbreviation	denoting members of black, Asian, and minority ethnic communities							asian, black
BAMF	noun	tough or formidably impressive person			y
BAMFs	noun	tough or formidably impressive person			y
BD	verb	have sex for purpose of conceiving												sexuality
BD'd	verb	have sex for purpose of conceiving												sexuality
BD'ing	verb	have sex for purpose of conceiving												sexuality
BDSM	noun	bondage, discipline, sadism, and masochism												sexuality
BDed	verb	have sex for purpose of conceiving												sexuality
BDing	verb	have sex for purpose of conceiving												sexuality
BDs	verb	have sex for purpose of conceiving												sexuality
BE	abbreviation	Black English							black
BEV	abbreviation	Black English Vernacular							black
BF	noun	person's boyfriend												sexuality
BFD	abbreviation	big fucking deal			y
BFs	noun	person's boyfriend												sexuality
BHO	noun	butane hash oil														drugs
BIPOC	abbreviation	black, indigenous, and people of colour							black, indigenous
BJ	noun	act of fellatio			y									sexuality
BJs	noun	act of fellatio			y									sexuality
BM	abbreviation	black male							black
BME	abbreviation	denoting members of black and ethnic minority communities in UK							black
BNP	empty	extreme right-wing political party in Britain supporting racial discrimination							immigration, racism			party, rightwing, uk
BS	noun	bullshit			y
BZP	abbreviation	benzylpiperazine, drug which has stimulant and euphoric properties similar to those of amphetamine														drugs
Baader	empty	an extreme left-wing terrorist organization operating in former West Germany between 1970 and 1998										leftwing, terrorism
Baader–Meinhof Group	empty	an extreme left-wing terrorist organization operating in former West Germany between 1970 and 1998										leftwing, terrorism
Baathism	noun	ideology and policies of Baath Party										doctrine
Babbitt	noun	materialistic, complacent, and conformist businessman	y
Babbitts	noun	materialistic, complacent, and conformist businessman	y
Baldwin	empty	(1924–87), American novelist and black civil rights activist							black
Baldwin, James	empty	(1924–87), American novelist and black civil rights activist							black
Bama	noun	Aboriginal, unsophisticated or unfashionable person	y						black, indigenous_australia
Bamas	noun	Aboriginal							indigenous_australia
Bantu	adjective	member of people that speaks Bantu language		y					black
Bantu education	noun	(in South Africa under apartheid) official system of education for black South Africans	y						black_southafrica
Bantus	adjective	member of people that speaks Bantu language		y					black
Bantustan	noun	partially self-governing area set aside during apartheid	y						black_southafrica
Bantustans	noun	partially self-governing area set aside during apartheid	y						black_southafrica
Baptist	adjective	member of Protestant Christian denomination											christian
Baptists	adjective	member of Protestant Christian denomination											christian
Barbara Charline Jordan	empty	(1936–96) US lawyer, educator, and politician							black
Barbara Jordan	empty	(1936–96) US lawyer, educator, and politician							black
Bartholin	noun	either of pair of glands lying near entrance of vagina												bodypart_genital
Bartholin's gland	noun	either of pair of glands lying near entrance of vagina												bodypart_genital
Bartholin's glands	noun	either of pair of glands lying near entrance of vagina												bodypart_genital
Bartholins gland	noun	either of pair of glands lying near entrance of vagina												bodypart_genital
Beale Street	empty	historic commercial street in Memphis							black
Bechdel	noun	way of evaluating portrayal of women in film										feminism		gender_female
Bechdel test	noun	way of evaluating portrayal of women in film										feminism		gender_female
Bechdel tests	noun	way of evaluating portrayal of women in film										feminism		gender_female
Bedford-Stuyvesant	empty	residential and commercial section of northern Brooklyn in New York City							black
Belfast	empty	capital and chief port of Northern Ireland										ireland
Benjamin Netanyahu	empty	(b.1949), Israeli statesman										israel, rightwing
Benny Goodman	empty	(1909–86), American jazz clarinettist and bandleader							black
Bergie	noun	vagrant													poor
Bergies	noun	vagrant													poor
Berry Gordy	empty	(b.1929), American record producer							black
Bible	noun	Christian scriptures											christian, jewish, text
Bible Belt	noun	areas of United States where Protestant fundamentalism is widely practised											christian, fundamentalism
Bible believer	noun												christian, fundamentalism
Bible believers	noun												christian, fundamentalism
Bible-basher	noun	person who expounds teachings of Bible aggressively											christian
Bible-bashers	noun	person who expounds teachings of Bible aggressively											christian
Bible-believing	adjective	having faith in absolute authority of Bible											christian, fundamentalism
Bible-thumper	noun	person who expounds teachings of Bible in aggressively evangelical way											christian
Bible-thumpers	noun	person who expounds teachings of Bible in aggressively evangelical way											christian
Biblicist	noun	person who interprets Bible literally											christian
Biblicists	noun	person who interprets Bible literally											christian
Big O	noun	orgasm												sexuality
Big Stoush	noun	First World War										war
Bill	noun	police					police
Billings method	noun	system for finding time of ovulation by examining cervical mucus												sexuality
Bircher	noun	member or supporter of John Birch Society										supporter
Birchers	noun	member or supporter of John Birch Society										supporter
Black	adjective	dark-skinned							black, indigenous_australia		controversial_ethnicity
Black Code	noun	laws restricting civil rights and liberties of black people							black
Black Codes	noun	laws restricting civil rights and liberties of black people							black
Black English	noun	English of variety spoken by many black people							black
Black Hand	noun	secret criminal and terrorist society in New York during early 20th century					y					terrorism
Black Hands	noun	secret criminal and terrorist society in New York during early 20th century					y					terrorism
Black Lives Matter	empty	movement campaigning against racism and violence against black people							black
Black Maria	noun	police vehicle for transporting prisoners					police		black
Black Marias	noun	police vehicle for transporting prisoners					police		black
Black Panther	noun	member of militant political organization set up in US in 1966 to fight for black rights							black			supporter
Black Panthers	noun	member of militant political organization set up in US in 1966 to fight for black rights							black			supporter
Black Power	noun	movement in support of rights and political power for black people							black
Black and Tans	empty	armed force recruited by British government										ireland
Blairism	noun	policies and principles advocated by Tony Blair										doctrine
Blairite	noun	supporter of Tony Blair or his policies										supporter
Blairites	noun	supporter of Tony Blair or his policies										supporter
Blighty	noun	wound suffered by soldier in First World War which was sufficiently serious to merit being shipped home to Britain										war
Blood	noun	person of specified descent					y		black
Blue	adjective	pornographic or obscene										conservative, supporter, war		sexuality
Blue Coat	noun	soldier in blue uniform					police					war
Blue Coats	noun	soldier in blue uniform					police					war
Blue Orchid	noun	member of Royal Australian Air Force during Second World War										war
Blue Orchids	noun	member of Royal Australian Air Force during Second World War										war
Bluebeard	empty	man who kills women					murder
Bluebeards	empty	man who kills women					murder
Bluenose	noun	priggish or puritanical person	y
Bluenoses	noun	priggish or puritanical person	y
Boer	noun	member of Dutch population which settled in southern Africa in 17th century					police
Boers	noun	member of Dutch population which settled in southern Africa in 17th century					police
Bogomil	noun	member of heretical medieval Balkan sect professing modified form of Manichaeism											christian
Bogomils	noun	member of heretical medieval Balkan sect professing modified form of Manichaeism											christian
Boko Haram	empty	militant Islamic fundamentalists in Nigeria											fundamentalism, muslim
Bolshevik	noun	member of majority faction of Russian Social Democratic Party	y									supporter
Bolsheviks	noun	member of majority faction of Russian Social Democratic Party	y									supporter
Bolshevism	noun	the communist form of government adopted in Russia following revolution										doctrine
Bolshevist	noun	member of majority faction of Russian Social Democratic Party	y									supporter
Bolshevists	noun	member of majority faction of Russian Social Democratic Party	y									supporter
Bonapartism	noun	political movement aiming to restore French empire under house of Bonaparte										doctrine
Bonapartist	adjective	supporter of political movement aiming to restore French empire under house of Bonaparte										supporter
Bonapartists	adjective	supporter of political movement aiming to restore French empire under house of Bonaparte										supporter
Booker T. Washington	empty	(1856–1915), American educationist							black
Border Patrol	noun	patrol sent to keep watch over area along country's border					police					immigration, terrorism, us
Border Patrols	noun	patrol sent to keep watch over area along country's border					police					immigration, terrorism, us
Bourbon	noun	reactionary										supporter
Bourbons	noun	reactionary										supporter
Bow Street Officer	noun	popular name for London policeman during first half of 19th century					police
Bow Street Officers	noun	popular name for London policeman during first half of 19th century					police
Bow Street Runner	noun	popular name for London policeman during first half of 19th century					police
Bow Street Runners	noun	popular name for London policeman during first half of 19th century					police
Boxer	noun	member of fiercely nationalistic Chinese secret society which flourished in 19th century										china, nationalism
Boxers	noun	member of fiercely nationalistic Chinese secret society which flourished in 19th century										china, nationalism
Brahman	noun	member of highest Hindu caste											hindu_caste
Brahmana	noun	any of compositions about Vedas											text
Brahmanas	noun	any of compositions about Vedas											text
Brahmanic	adjective												hindu_caste
Brahmanical	adjective	of or belonging to highest Hindu caste											hindu_caste
Brahmans	noun	member of highest Hindu caste											hindu_caste
Brahmin	noun	member of highest Hindu caste											hindu_caste
Brahminic	adjective												hindu_caste
Brahminical	adjective	of or belonging to highest Hindu caste											hindu_caste
Brahmins	noun	member of highest Hindu caste											hindu_caste
Braille	empty	(1809–52), French educationist						blindness
Braille	noun	form of written language for blind people						blindness
Braille, Louis	empty	(1809–52), French educationist						blindness
Breathalyzer	noun	device used by police for measuring amount of alcohol in driver's breath					police
Breathalyzers	noun	device used by police for measuring amount of alcohol in driver's breath					police
Breeches Bible	noun	Geneva Bible of 1560											text
Bren	noun	machine gun used by Allied forces in Second World War										war
Bren gun	noun	machine gun used by Allied forces in Second World War										war
Bren guns	noun	machine gun used by Allied forces in Second World War										war
Brens	noun	machine gun used by Allied forces in Second World War										war
Brexit	noun	departure of UK from EU										uk
Brexiteer	noun	person in favour of UK withdrawing from EU										uk
Brexiteers	noun	person in favour of UK withdrawing from EU										uk
Brexiter	noun	person in favour of UK withdrawing from EU										uk
Brexiters	noun	person in favour of UK withdrawing from EU										uk
Brit	noun	British person							british
British National Party	empty	extreme right-wing political party in Britain supporting racial discrimination							immigration, racism			party, rightwing, uk
British Union of Fascists	empty	extreme right-wing British political party founded by Sir Oswald Mosley in 1932										fascism, rightwing
Britisher	noun	native or inhabitant of Britain							british
Britishers	noun	native or inhabitant of Britain							british
Brits	noun	British person							british
Brixit	noun	departure of UK from EU										uk
Brompton	noun	powerful painkiller and sedative consisting of vodka or other spirit laced with morphine														drugs
Brompton cocktail	noun	powerful painkiller and sedative consisting of vodka or other spirit laced with morphine														drugs
Brompton cocktails	noun	powerful painkiller and sedative consisting of vodka or other spirit laced with morphine														drugs
Brownite	adjective	supporter of former British Prime Minister Gordon Brown or his policies										supporter
Brownites	adjective	supporter of former British Prime Minister Gordon Brown or his policies										supporter
Buddhism	noun	widespread Asian religion or philosophy											buddhist
Buddhist	noun	adherent of religion based on teachings of Buddha											buddhist
Buddhists	noun	adherent of religion based on teachings of Buddha											buddhist
Bull Moose	noun	supporter or member of Progressive Party										supporter
Bull Mooses	noun	supporter or member of Progressive Party										supporter
Bushism	noun	policies or principles advocated by George H. W. Bush or George W. Bush										doctrine
C	noun	denoting intermediate socio-economic category for marketing purposes													class
C. L. R. James	empty	(1901–89), Trinidadian historian, journalist, political theorist, and novelist							black
C1	noun	denoting intermediate socio-economic category for marketing purposes													class
C2	noun	denoting intermediate socio-economic category for marketing purposes													class
CBA	abbreviation	can't be arsed			y									bodypart
CBD	noun	cannabidiol														drugs
CBDs	noun	cannabidiol														drugs
CID	abbreviation	(in UK) Criminal Investigation Department					police
CODA	noun	person with one or more deaf parents						y
CODAs	noun	person with one or more deaf parents						y
CVS	noun	test made in early pregnancy to detect congenital abnormalities in fetus										abortion
Cabalist	noun	follower of ancient Jewish mystical tradition of Kabbalah											jewish
Cabalists	noun	follower of ancient Jewish mystical tradition of Kabbalah											jewish
Cabbalist	noun	follower of ancient Jewish mystical tradition of Kabbalah											jewish
Cabbalists	noun	follower of ancient Jewish mystical tradition of Kabbalah											jewish
Calvinist	noun	adherent of Protestant theological system of John Calvin and successors											christian
Calvinists	noun	adherent of Protestant theological system of John Calvin and successors											christian
Camisard	noun	member of French Protestant insurgents who rebelled against persecution that followed revocation of Edict of Nantes										y
Camisards	noun	member of French Protestant insurgents who rebelled against persecution that followed revocation of Edict of Nantes										y
Cape colored	noun	(in South Africa) person of mixed ethnic descent resident in province of Western Cape							mixedrace_southafrica
Cape coloreds	noun	(in South Africa) person of mixed ethnic descent resident in province of Western Cape							mixedrace_southafrica
Cape coloured	noun	(in South Africa) person of mixed ethnic descent resident in province of Western Cape							mixedrace_southafrica
Cape coloureds	noun	(in South Africa) person of mixed ethnic descent resident in province of Western Cape							mixedrace_southafrica
Carlism	noun	Spanish conservative political movement originating in support of Don Carlos										conservative, spain
Carlist	adjective											conservative, spain
Carlists	adjective											conservative, spain
Cath.	abbreviation	Catholic											christian
Cathar	noun	member of heretical medieval Christian sect which professed form of Manichaean dualism											christian
Cathars	noun	member of heretical medieval Christian sect which professed form of Manichaean dualism											christian
Catholic	adjective	member of Roman Catholic Church											christian
Catholics	adjective	member of Roman Catholic Church											christian
Caucasian	adjective	white-skinned							white
Caucasians	adjective	white-skinned							white
Caucasoid	adjective	relating to division of humankind including peoples from Europe and western Asia		y					white
Caucasoids	adjective	relating to division of humankind including peoples from Europe and western Asia		y					white
Cavalier	noun	supporter of King Charles I in English Civil War										supporter
Cavaliers	noun	supporter of King Charles I in English Civil War										supporter
Chalcedonian	adjective	adherent of canons of Council of Chalcedon											christian
Chalcedonians	adjective	adherent of canons of Council of Chalcedon											christian
Chaldean	noun	member of ancient people											christian
Chaldeans	noun	member of ancient people											christian
Champagne Charley	noun	man who lives life of luxury and excess													rich
Champagne Charleys	noun	man who lives life of luxury and excess													rich
Champagne Charlie	noun	man who lives life of luxury and excess													rich
Champagne Charlies	noun	man who lives life of luxury and excess													rich
Chardonnay socialist	noun	rich person who espouses socialist ideals													rich
Chardonnay socialists	noun	rich person who espouses socialist ideals													rich
Charles	empty	(1930–2004), American pianist and singer; born Ray Charles Robinson						blindness
Charles, Ray	empty	(1930–2004), American pianist and singer; born Ray Charles Robinson						blindness
Chasid	noun	member of strictly orthodox Jewish sect in Palestine											jewish
Chasidim	noun	member of strictly orthodox Jewish sect in Palestine											jewish
Chasidism	noun	mystical Jewish movement founded in Poland in 18th century in reaction											jewish
Chassid	noun	member of strictly orthodox Jewish sect in Palestine											jewish
Chassidim	noun	member of strictly orthodox Jewish sect in Palestine											jewish
Chassidism	noun	mystical Jewish movement founded in Poland in 18th century in reaction											jewish
Chelsea pensioner	noun	resident of Royal Hospital Chelsea				old
Chelsea pensioners	noun	resident of Royal Hospital Chelsea				old
Chetnik	noun	member of Serbian nationalist guerrilla force in Balkans										serbia, war
Chetniks	noun	member of Serbian nationalist guerrilla force in Balkans										serbia, war
Chicana	noun	woman or girl of Mexican origin or descent									controversial_ethnicity
Chicanas	noun	woman or girl of Mexican origin or descent									controversial_ethnicity
Chicano	noun	person of Mexican origin or descent							latinamerican		controversial_ethnicity
Chicanos	noun	person of Mexican origin or descent							latinamerican		controversial_ethnicity
Chinaman	noun	native of China		y					asian
Chinamen	noun	native of China		y					asian
Chinese fire drill	noun	state of disorder or confusion		y
Chinese fire drills	noun	state of disorder or confusion		y
Chink	noun	Chinese person		y					asian
Chinkies	noun	Chinese person		y					asian
Chinks	noun	Chinese person		y					asian
Chinky	noun	Chinese person		y					asian
Christadelphian	noun	member of Christian sect, founded in America in 1848											christian
Christadelphians	noun	member of Christian sect, founded in America in 1848											christian
Christer	noun	sanctimonious or ostentatiously pious Christian	y										christian
Christers	noun	sanctimonious or ostentatiously pious Christian	y										christian
Christian	adjective	person who is believer in Christianity											christian
Christian Scientist	noun	member of Church of Christ Scientist											christian
Christian Scientists	noun	member of Church of Christ Scientist											christian
Christianist	noun	fundamentalist Christian											christian, fundamentalism
Christianists	noun	fundamentalist Christian											christian, fundamentalism
Christians	adjective	person who is believer in Christianity											christian
Church Fathers	noun	male parent											christian	sexuality
Cleaver	empty	(1935–98), US civil rights activist							black
Cleaver, Eldridge	empty	(1935–98), US civil rights activist							black
Cole	empty	(1919–65), American singer and pianist; born Nathaniel Adams Coles							black
Cole, Nat King	empty	(1919–65), American singer and pianist; born Nathaniel Adams Coles							black
Colin Luther Powell	empty	(1937–2021), US army officer and statesman							black
Colin Powell	empty	(1937–2021), US army officer and statesman							black
Collins Street	noun	referring to rich person from the city who dabbles in rural life	y
Colonel Blimp	noun	fat person	y
Colonel Blimps	noun	fat person	y
Commo	noun	communist										supporter
Commos	noun	communist										supporter
Communard	noun	member of commune										supporter
Communards	noun	member of commune										supporter
Companion	noun	person with whom one spends time												sexuality
Companions	noun	person with whom one spends time												sexuality
Con	abbreviation	constable					police
Con.	abbreviation	constable					police
